studyName,studySub,protist,coral,plant,algae,fish,inverts,mobile.inverts,sessile.inverts,marine.mammals,phytoplankton,zooplankton,mesh.size,mesh.size.units,Descriptor.of.Taxa.Sampled,Trophic,TaxonDumb,Methods,SppList,Vis,Trwl,Line,Drdg,Trp,PltSz,PltSzUnits,PltN,SiteN,SiAreaCalc,SiAreaCalcUnits,SiLinearExtent,SiLinearExtentUnits,alphaSQM,gammaSQM,DivStandardization,AbundType,AbundUnitsOrig,alphaMult,gammaMult,AbundUnits,AbundYes,Notes,,
FriedBeets08,FriedBeets08,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,Stationary visual census technique;  all fish species observed within a 7.5m radius cylinder for 5 minutes,Open,1,0,0,0,0,176.7145868,m2,1,2,176.7145868,m2,0.1,km,NA,176.71,No,Abundance,individualsPerSample,NA,0.005658842,indSQM,1,0.0155,km (for site linear extent),
FriedHawaii,FriedHawaii,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,22 belt transects (25 x 5m) throughout Hanalei Bay,Open,1,0,0,0,0,125,m2,1,22,2750,m2,1,km,NA,125,No,Biomass,metricTonsPerHectare,NA,0.1,kgSQM,1,"1000 kg in a metric ton/ hectare is a 10,000 sqm",,
Goodwin,Good_epif,0,0,0,1,0,1,0,1,0,0,0,NA,NA,sessile invertebrates and flora,2,mixed,"Two 50m transects, with 5 sampling spots along each transect; Cores were 12cm diameter by 50cm long",Open,0,0,0,1,0,0.005654867,m3,10,1,0.056548668,m3,0.1,km,0.011309734,NA,No,Abundance,NA,NA,NA,NA,0,,,
Goodwin,Good_pred,0,0,0,0,1,0,1,0,0,0,0,NA,NA,benthic invertebrate and fish consumers,3,mixed,"Two 50m transects, with 5 sampling spots along each transect; 52 cm wide dip net swept along 5m",Open,0,1,0,0,0,2.6,m2,10,1,26,m2,0.1,km,2.6,NA,No,Abundance,NA,NA,NA,NA,0,going from cm3 to m3 is factor of 10^4,,
IMOS,IMOS,0,0,0,0,0,0,0,0,0,0,1,100,_m,zooplankton,2,zooplankton,"Drop net with 60cm diameter mesh, weighted to fall at 1m/s; pulls closed at end of fall so only samples on the way down",Open,0,1,0,0,0,0.282743339,NA,1,8,0.282743339,m2,0.1,km,NA,0.282743339,No,Abundance,individualsPer1m3,NA,1,indCUM,1,doing from dm3 to m3 is a factor of 10^2,,
KFMP,KFMP,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,"Roving diver fish counts (RDFC); One permanent 100m transect per site (10 m on both sides), over 30 minutes",Open,1,0,0,0,0,2000,m2,1,37,2000,m2,0.1,km,NA,2000,No,Abundance,NA,NA,NA,NA,0,,,
SeaBrook,SeaAlgae,0,0,0,1,0,0,0,0,0,0,0,NA,NA,algae,1,algae,5 randomly selected quadrats were scraped of all macroalgae and associated macrofauna,Open,0,1,0,0,0,0.0625,m2,5,4,0.3125,m2,0.1,km,0.0625,NA,No,Biomass,NA,NA,NA,NA,0,,,
SeaBrook,SeaFauna,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,5 randomly selected quadrats were scraped of all macroalgae and associated macrofauna,Open,0,1,0,0,0,0.0625,m2,5,4,0.3125,m2,0.1,km,0.0625,NA,No,Biomass,NA,NA,NA,NA,0,,,
SwedFishTrap,SwedFishTrap,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,2 sets of 6 box traps set for 12 days; a trap is 2 fykes put together with three openings leading to an opening shaped like a half circle with a radius of 55cm and 5m long arms,Open,0,0,0,0,1,0.475165889,m2,6,2,2.850995333,m2,10,km,0.475165889,2.85,No,Abundance,NA,NA,NA,NA,0,7,km (site linear extent),
SwedFishTrawl,SwedFishTrawl,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,"5 20 minute trawls; Trawl has an opening of 5m and 1m height; distance is 1200m; each sampling time they make 5 hauls along transects 50m apart; repeated 5 times over ten days, each sampling two days apart",Open,0,1,0,0,0,6000,m3,5,2,30000,m3,1,km,NA,30000,No,Abundance,NA,NA,NA,NA,0,,,
SwedMacro,SwedMacro,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,Used a Smith-McIntyrehuggare 0.1m2 sampling area.  Sampled 5 times from each of 4 stations.  2 control stations are separated from the 2 impact stations by 10km. ,Open,0,0,0,1,0,0.1,m2,5,4,0.5,m2,10,km,0.1,0.5,No,Abundance,individualsPerm2,1,NA,indSQM,1,,,
Barrett,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,"At each site, 4 x 500m2 transects; multiple sites within and outside of reserves at each geographic location (here called sites)",Open,1,0,0,0,0,500,m2,4,4,2000,m2,1,km,NA,2000,No,Abundance,NA,NA,NA,NA,0,,,
Carballo,Carballo,0,0,0,0,0,0,0,1,0,0,0,NA,NA,sponges,2,sponges,"One site, three 25m long permanent transects, each with 6 quadrats",Open,1,0,0,0,0,4,m2,18,1,72,m2,0.1,km,4,NA,No,Abundance,individualsPer1m2,1,NA,indSQM,1,,,
Dittmann,Dittmann,0,0,0,0,0,1,1,0,0,0,0,NA,NA,flatworms,2,platyhelminthes,"Two sites.  At each site, 8-10 5cm2 cores were taken to 5cm depth; randomly placed within sites",Open,0,0,0,1,0,25,cm3,8--10,2,0.45,m2,0.1,km,0.0025,0.0225,No,Abundance,individualsPer5m2,400,400,indSQM,1,Variable sample size per site,,
Gooday,Gooday_split,1,0,0,0,0,0,0,0,0,0,0,NA,NA,foraminifera,2,foraminifera,Porcupine Abyssal Plain is 55km2; 1-2 samples were taken per time point ,Open,0,0,0,1,0,6.375,cm2,1--2,1,6.375,cm2,10,km,NA,0.006375,No,Abundance,individualsPerSample,NA,156.8627451,indSQM,1,Variable sample size per site,,
Gooday,Gooday_whole,1,0,0,0,0,0,0,0,0,0,0,NA,NA,foraminifera,2,foraminifera,Porcupine Abyssal Plain is 55km2; 1-3 samples were taken per time point ,Open,0,0,0,1,0,25.5,cm2,1--3,1,25.5,cm2,10,km,NA,0.0255,No,Abundance,individualsPerSample,NA,39.21568627,indSQM,1,Variable sample size per site,,
Greenwood,Greenwood,0,0,0,0,1,0,0,0,0,0,0,15,mm,fish,3,fish,Three stations; each sample was 0.8 km trawl with a 2m Aggasiz trawl; trawling was undertaken at high water and low water in 5 months of the year; giving a total of 30 trawls per year except in 1986 (24),Open,0,1,0,0,0,1600,m2,30,1,48000,m2,10,km,NA,48000,No,Abundance,individualsPerSample,NA,0.000625,indSQM,1,,,
Hall,Hall,0,0,0,0,0,1,1,0,0,0,0,NA,NA,benthic invertebrates,2,inverts,Three samples were taken at 5 sites using a 0.1m2 Day grab; abundances are means per site per timepoint,Open,0,0,0,1,0,0.1,m2,3,5,0.3,m2,0.1,km,NA,0.3,No,Abundance,individualsPer0.1m2,NA,10,indSQM,1,,,
Hawkins,Hawkins,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,15 minute visual censuses (cylinder with 10m diameter and 5m height above reef) were conducted at sites inside and outside of new reserves within Soufriere Bay; these data treated as plot scale because the data presented are averages per fished and reserve sites,Open,1,0,0,0,0,392.6990817,m3,8,2,3141.592654,m3,10,km,78.53981634,NA,No,Biomass,kgPerSample,0.002546479,NA,indCUM,1,,,
IbarraObando,IbarraObando,0,0,1,0,0,0,0,0,0,0,0,NA,NA,grasses,1,grasses,20 0.25m2 quadrats in tidal non-tidal (dike) sites,Closed,1,0,0,0,0,0.25,m2,20,2,5,m2,0.1,km,NA,5,No,PercentCover,PercentCover,1,1,perCover,1,,,
Ivanov,Ivanov,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,Three Van Veen grabs per year,Open,0,0,0,1,0,0.025,m2,3,1,0.075,m2,0.1,km,NA,0.075,No,Abundance,individualsPer1m2,NA,1,indSQM,1,,,
Jones,Jones,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,"Six lakes were sampled quarterly for three years; four random sites chosen randomly at three locations (Lake entrance, central basin, back shore)",Open,0,1,0,0,0,25,m2,12,6,300,m2,NA,km,25,NA,No,Abundance,individualsPerSample,0.04,NA,indSQM,1,,,
Keller,Keller,0,0,0,0,1,0,0,0,0,0,0,3.8,cm,fish,3,fish,15 minute trawls at 1.13 m per second (1017m trawl); between Cape Flattery and Point Conception,Open,0,1,1,1,1,"32,239",m2,220,3,7092580,m2,1000,km,32239,NA,No,Abundance,NA,NA,NA,NA,0,1900,km,
Kilfoyle,Kilfoyle,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,30 m belt transect at each site (60m2),Open,1,0,0,0,0,60,m2,25,2,1500,m2,0.1,km,60,1500,No,Abundance,individualsPerSample,0.016666667,0.000666667,indSQM,1,,,
Masuda,Masuda,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,3 200 m belt transects at one site,Open,1,0,0,0,0,400,m2,3,1,1200,m2,0.1,km,400,NA,No,Abundance,individualsPerSample,0.0025,NA,indSQM,1,,,
McClanahan,McClanahan,0,1,0,0,0,0,0,0,0,0,0,NA,NA,coral,2,coral,"At each of four locations (here sites), two sites were sampled using nine 10m-line transects; richness per site is reported (gamma)",Open,1,0,0,0,0,10,m,9,8,4.5,m2,0.1,km,NA,4.5,No,PercentCover,PercentCover,1,1,perCover,1,,,
McLusky,McLusky,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"At each of 90 stations, 2 cores were taken",Open,0,0,0,1,0,125,cm3,2,90,0.5,m2,0.1,km,NA,0.005,No,Abundance,individualsPerStation,NA,4000,indCUM,1,,,
Miller,Miller,0,0,0,0,1,0,0,0,0,0,0,NA,NA,larval fish,2,fish,"1 light trap, sampled every 1-2 days for 4 years; 10 liter carboy with 10 circular funnel openings (diamter = 1-1.25 cm)",Open,0,0,0,0,1,0.078539816,m2,1,1,0.078539816,m2,0.1,km,NA,0.078539816,No,Abundance,individualsPerSample,NA,10000,indCUM,1,,,
Noble,Noble,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,"Six visual censuses were conducted at each site, two sites per zone (open vs closed to fishing); cylinder with radius 5 and height  5m",Open,1,0,0,0,0,392.6990817,m3,6,4,30842.51375,m2,0.1,km,78.53981634,NA,No,Abundance,individualsPerSample,0.002546479,NA,indCUM,1,,,
Robinson,Robinson,0,0,0,0,1,0,0,0,0,0,0,4,mm,fish,3,fish,9.2 m long beach seine with 4 mm stretch mesh and a 3.1 m drop. Triplicate beach seines we used so plot area calculated as 9.2(length)*3.1(drop?)* 3(nets),Open,0,1,0,0,0,50,m2,3,5,150,m2,0.1,km,NA,150,No,Abundance,NA,NA,NA,NA,0,,,
Sheaves,Sheaves,0,0,0,0,1,0,0,0,0,0,0,18,mm,fish,3,fish,At least 30 replicate net samples were collected from each lake per time point,Open,0,1,0,0,0,4.29,m,30,2,128.7,m2,0.1,km,NA,128.7,No,Abundance,NA,NA,NA,NA,0,,,
Shimanaga,Shimanaga,0,0,0,0,0,1,1,0,0,0,1,NA,NA,benthic copepods,2,inverts,Upper cm of core was sampled for benthic copepods; 2-3 cores per time point,Open,0,0,0,1,0,0.025,m2,3,1,0.075,m2,10,km,0.025,NA,Yes,NA,NA,NA,NA,NA,0,ES50 - expected species over 50 individuals,,
Somerfield,SomerfieldPatch,0,1,0,0,0,0,0,0,0,0,0,NA,NA,coral,2,coral,"2-4 'stations' (transects) per site, 40 sites across the keys",Open,1,0,0,0,0,40,m2,2--4,40,120,m2,0.1,km,120,NA,No,PercentCover,PercentCover,1,NA,perCover,1,Variable sample size per site,,
Somerfield,SomerfieldDeep,0,1,0,0,0,0,0,0,0,0,0,NA,NA,coral,2,coral,"2-4 'stations' (transects) per site, 40 sites across the keys",Open,1,0,0,0,0,40,m2,2--4,40,120,m2,0.1,km,120,NA,No,PercentCover,PercentCover,1,NA,perCover,1,Variable sample size per site,,
Somerfield,SomerfieldShallow,0,1,0,0,0,0,0,0,0,0,0,NA,NA,coral,2,coral,"2-4 'stations' (transects) per site, 40 sites across the keys",Open,1,0,0,0,0,40,m2,2--4,40,120,m2,0.1,km,120,NA,No,PercentCover,PercentCover,1,NA,perCover,1,Variable sample size per site,,
Somerfield,SomerfieldHard,0,1,0,0,0,0,0,0,0,0,0,NA,NA,coral,2,coral,"2-4 'stations' (transects) per site, 40 sites across the keys",Open,1,0,0,0,0,40,m2,2--4,40,120,m2,0.1,km,120,NA,No,PercentCover,PercentCover,1,NA,perCover,1,Variable sample size per site,,
Sonnewald,Sonnewald,0,0,0,0,1,1,1,1,0,0,0,1,cm2,benthic invertebrates,2,mixed,37 stations were sampled in Dogger bank; 2m beam trawl for one nautical mile (1852 m),Open,0,1,0,0,0,3704,m2,37,1,137048,m2,100,km,NA,137048,No,Abundance,NA,NA,NA,NA,0,10e6 square meters in a square km,"11,000",km
Svensson,Svensson,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,"4 sites, 4 50m transects per site.  No fixed transect width - used 'variable distance counting to calculate area'.  Assume 5m on each side?",Open,1,0,0,0,0,50,m,4,4,1000,m2,0.1,km,250,NA,No,Abundance,individualsPer1m2,1,NA,indSQM,1,,,
Touzri,Touzri,0,0,0,0,0,1,1,0,0,0,1,70,_m,zooplankton,2,zooplankton,7 sites each in bay and lagoon; WP2 net has 57 cm diameter,Open,0,1,0,0,0,0.026,m3,1,7,0.255175863,m2,0.1,km,NA,0.255175863,No,Abundance,individualsPer1m3,NA,1,indCUM,1,,,
Valdes,Valdes,0,0,0,0,0,1,1,0,0,0,1,250,_m,zooplankton,2,zooplankton,1 neritic and 1 oceanic site; double oblique tows were made at a speed of 1-1.5 knots up to a depth of 50m; tow length presumably depends on site; 50 cm diameter,Open,0,1,0,0,0,0.196349541,m2,1,2,0.196349541,m2,0.1,km,NA,0.196349541,No,Abundance,individualsPer1m3,NA,1,indCUM,1,,,
Warwick,WarwickBay,0,0,0,0,0,1,0,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"Six sampling areas (here called sites) in Tees Bay, with three sites per area, and 5 replicate grabs per site.  0.1 m2 day grab ",Open,0,0,0,1,0,0.1,m2,5,6,1.5,m2,10,km,0.1,NA,No,Abundance,individualsPerSample,10,NA,indSQM,1,,,
Warwick,WarwickEst,0,0,0,0,0,1,0,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"Two sampling areas, with 4-8 sites per area, and 1 replicate grab per site.  0.1 m2 day grab ",Open,0,0,0,1,0,0.1,m2,4--8,2,0.6,m2,1,km,0.1,NA,No,Abundance,individualsPerSample,10,NA,indSQM,1,Variable sample size per site,,
Yildiz,Yildiz,0,0,0,0,0,1,1,0,0,0,1,200,uM,zooplankton,2,inverts,40 cruises to one site,Open,0,1,0,0,0,0.119459061,m2,1,1,0.119459061,m2,0.1,km,NA,0.119459061,No,Abundance,individualsPer1m2,NA,1,indSQM,1,,,
KelmoForam,KelmoForam,0,0,0,0,0,1,1,1,0,0,0,NA,NA,foraminifera,2,foraminifera,10 replicates per reef; 4 reefs; assume symmetrical core 50 cm3 (4diam x 4height cm cylinder),Open,0,0,0,1,0,0.001256637,m2,10,4,0.012566371,m2,10,km,NA,0.012566371,No,Abundance,individualsPerLiter,NA,1000,indCUM,1,50.26548246,,
KelmoSponge,KS_ERT,0,0,0,0,0,0,0,1,0,0,0,NA,NA,sponges,2,sponges,35 1m2 quadrats on 4 reefs,Open,1,0,0,0,0,1,m2,35,4,35,m2,10,km,NA,35,No,Abundance,individualsPer35m2,NA,0.028571429,indSQM,1,,,
KelmoSponge,KS_CRW,0,0,0,0,0,0,0,1,0,0,0,NA,NA,sponges,2,sponges,35 1m2 quadrats on 4 reefs,Open,1,0,0,0,0,1,m2,35,4,35,m2,10,km,NA,35,No,Abundance,individualsPer35m2,NA,0.028571429,indSQM,1,,,
KelmoSponge,KS_SBR,0,0,0,0,0,0,0,1,0,0,0,NA,NA,sponges,2,sponges,35 1m2 quadrats on 4 reefs,Open,1,0,0,0,0,1,m2,35,4,35,m2,10,km,NA,35,No,Abundance,individualsPer35m2,NA,0.028571429,indSQM,1,,,
KelmoInv,KelmoInv,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,35 1m2 quadrats on 4 reefs,Open,1,0,0,0,0,1,m2,35,4,35,m2,10,km,NA,35,No,Abundance,individualsPer35m2,NA,0.028571429,indSQM,1,,,
Bedford,Bedford,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,Swam around each artificial reef and identified all fish; 1.12 acre = 4532 m2,Open,1,0,0,0,0,4532,m2,1,3,4532,m2,1,km,NA,4532,No,Abundance,NA,NA,NA,NA,0,Each reef is 1.12 acres (4532 m2),,
Whomersley,Whomersley,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,4 replicates per site; From Rees reference 0.1 m2 day grab,Open,0,0,0,1,0,0.1,m2,4,3,0.4,m2,0.1,km,0.1,NA,No,Abundance,NA,NA,NA,NA,0,,,
Cardoso,Cardoso,0,0,0,0,0,0,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"6-10 cores per site, 13.5cm diameter, 20cm deep",Open,0,0,0,1,0,0.002862776,m3,6--10,3,0.114511052,m2,0.1,km,NA,0.114511052,No,Abundance,individualsPer1m2,NA,1,indSQM,1,Variable sample size per site,,
Sebens,Sebens,0,0,0,1,0,1,0,1,0,0,0,NA,NA,sessile invertebrates and flora,2,mixed,"At each site, 2-3 walls were sampled using 4 adjacent photoquads that were 35 x 24 cm = .084m2 x 4 = .336 sqm",Open,1,0,0,0,0,0.336,m2,2--3,5,0.177336622,m2,10,km,0.336,0.177336622,No,NA,NA,NA,NA,NA,0,Variable sample size per site,15,km
Beldade,Beldade,0,0,0,0,1,0,0,0,0,0,0,NA,NA,cryptobenthic fishes,2,fish,"2 sites, timed searches at each",Open,1,0,0,0,0,60,m2,14.5,2,1740,m2,1,km,NA,1740,No,Abundance,individualsPerMinute,NA,1,indHR,1,,,
Birchenough,Birchenough,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"Sites 5 and 7 were control, other two impacted",Open,0,0,0,1,0,0.1,m2,5,4,0.5,m2,0.1,km,0.1,NA,No,Abundance,individualsPer0.1m2,NA,NA,indSQM,1,,,
Bollens,Bollens,0,0,0,0,0,0,0,0,0,0,1,73,_m,zooplankton,2,zooplankton,"2 stations each within 3 bays; slow vertical hauls 10m min-1 from near bottom to surface, 0.5m diameter net; not clear how many hauls per station",Open,0,1,0,0,0,0.5,m,NA,2,NA,NA,10,km,0.196349541,NA,No,Abundance,individualsPer1m3,1,NA,indCUM,1,,15,km
HernandezMiranda,HernandezMiranda,0,0,0,0,1,1,0,0,0,0,0,5,mm,benthic invertebrates and fish,2,mixed,3 sites; 1m wide x 1m long x 30cm high Agassiz trawl; average survey distance was 378m; sailing for 5 min at 1.5 -2 knots,Open,0,1,0,0,0,113.4,m2,1,3,340.2,m2,1,km,NA,113.4,No,Abundance,individualsPer500m2,NA,NA,indSQM,1,,,
Hidalgo,Hidalgo,0,0,0,0,0,1,1,0,0,0,0,200,_m,pelagic copepods,2,zooplankton,"1 site, vertical tows from bottom (90m depth) to surface, 0.5m diameter",Open,0,0,0,0,1,0.5,m,NA,2,NA,NA,0.1,km,NA,0.196349541,No,Abundance,individualsPer1m3,NA,NA,indCUM,1,,,
Moreira,Moreira,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"5 replicates per month, vanVeen grab with sampling area of 0.056m2",Open,0,0,0,1,0,0.056,m2,5,1,0.28,m2,0.1,km,0.056,0.28,No,Abundance,individualsPerSample,17.85714286,NA,indSQM,1,,,
Occhipinti,Occhipinti,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"4 replicates per site, 3 sites in two localities, 0.06 m2 van veen grab",Open,0,0,0,1,0,0.06,m2,4,6,0.24,m2,0.1,km,NA,0.24,No,Abundance,individualsPer1m2,NA,NA,indSQM,1,,,
Deidun,Deidun,0,0,0,0,0,1,1,0,0,0,0,NA,NA,benthic invertebrates,2,inverts,"3 sites, with unknown # of cores per site; going to assume 20; should not affect the scale predictor too much b/c so small anyway",Open,1,0,0,0,1,0.04,m2,20,3,NA,NA,0.1,km,NA,0.8,No,Abundance,individualsPer1m3,NA,1,indCUM,1,"Sample size is not given, therefore cannot calculate gammaSWM",,
Dupont,DupontLB,0,0,0,0,0,0,1,0,0,0,0,NA,NA,fish,3,fish,"10 random censuses across 3 sites; 5m radius cylinder, extending from surface to bottom, assume 20m depth",Open,1,0,0,0,0,1570,m3,10,3,15700,m3,0.1,km,NA,785.3981634,No,NA,NA,NA,NA,NA,0,1570.796327,,
Dupont,DupontRM,0,0,0,0,0,0,1,0,0,0,0,NA,NA,fish,3,fish,"10 random censuses across 3 sites; 5m radius cylinder, extending from surface to bottom, assume 20m depth",Open,1,0,0,0,0,1570,m3,10,3,15700,m3,0.1,km,NA,785.3981634,No,NA,NA,NA,NA,NA,0,1570.796327,,
Dupont,DupontRef,0,0,0,0,0,0,1,0,0,0,0,NA,NA,fish,3,fish,"10 random censuses across 3 sites; 5m radius cylinder, extending from surface to bottom, assume 20m depth",Open,1,0,0,0,0,1570,m3,10,3,15700,m3,0.1,km,NA,785.3981634,No,NA,NA,NA,NA,NA,0,1570.796327,,
Shin,Shin,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"5 sediment samples using 0.1m2 vanVeen, from 2 site replicates, at 5 locations ('sites' for this analysis)",Open,0,0,0,1,0,0.1,m2,5,5,0.5,m2,0.1,km,0.5,NA,No,NA,NA,NA,NA,NA,0,,,
SBC,SBCalg,0,0,0,1,0,0,0,0,0,0,0,NA,NA,algae,1,algae,"40m transects, uniform point contact (n = 80); one point 50cm on either side of the transects (every 1m)",Open,1,0,0,0,0,40,m,2--8,11,200,m2,0.1,km,40,200,No,PercentCover,PercentCover,1,1,perCover,1,Variable sample size per site,,
SBC,SBCfish,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,40m long x 2 m wide transects,Open,1,0,0,0,0,80,m2,2--8,11,400,m2,0.1,km,80,400,No,Abundance,individualsPerSample,NA,NA,indSQM,1,Variable sample size per site,,
SBC,SBCinv,0,0,0,0,0,1,0,1,0,0,0,NA,NA,sessile invertebrates,2,inverts,"40m transects, uniform point contact (n = 80); one point 50cm on either side of the transects (every 1m)",Open,1,0,0,0,0,80,m,2--8,11,400,m2,0.1,km,40,200,No,PercentCover,PercentCover,1,1,perCover,1,Variable sample size per site,,
SBC,SBCmobS,0,0,0,0,0,1,1,0,0,0,0,NA,NA,benthic invertebrate consumers,3,inverts,40m long x 2 m wide transects,Closed,1,0,0,0,0,80,m2,2--8,11,400,m2,0.1,km,80,400,No,Abundance,individualsPerSample,NA,NA,indSQM,1,Variable sample size per site,,
