"","site","studySub","studyName","subSiteID","Scale","date.no","even","temp_n","duration","initialEven","Sys","Taxon","Trophic","Prediction","Lat","Long","Climate","Protection","area","year0","initialYr","year0Z","initialYrZ","durationZ"
"3942","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38697,0.714880597666667,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,47.95,45.94,19.95,17.94,-24.74
"3941","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38797,0.725530346833333,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,48.22,45.94,20.22,17.94,-24.74
"3947","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38869,0.692653416125,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,48.42,45.94,20.42,17.94,-24.74
"3937","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38958,0.673518065208333,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,48.66,45.94,20.66,17.94,-24.74
"3938","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",39054,0.73313146275,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,48.92,45.94,20.92,17.94,-24.74
"3945","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",39154,0.723457415958333,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,49.2,45.94,21.2,17.94,-24.74
"4125","PG","Elahi_Qsess","Elahi","Elahi_Qsess_PG_R","alpha",37964,0.48008861825,12,3.26,0.680277685,"hardBottom","sessile invertebrates and flora",2,"none",48.559,-122.988,"temperate","1_protected",0.09,45.94,45.94,17.94,17.94,-24.74
"4121","PG","Elahi_Qsess","Elahi","Elahi_Qsess_PG_R","alpha",38194,0.611607619458333,12,3.26,0.680277685,"hardBottom","sessile invertebrates and flora",2,"none",48.559,-122.988,"temperate","1_protected",0.09,46.57,45.94,18.57,17.94,-24.74
"4119","PG","Elahi_Qsess","Elahi","Elahi_Qsess_PG_R","alpha",38473,0.612060779,12,3.26,0.680277685,"hardBottom","sessile invertebrates and flora",2,"none",48.559,-122.988,"temperate","1_protected",0.09,47.33,45.94,19.33,17.94,-24.74
"4124","PG","Elahi_Qsess","Elahi","Elahi_Qsess_PG_R","alpha",38617,0.637358685208333,12,3.26,0.680277685,"hardBottom","sessile invertebrates and flora",2,"none",48.559,-122.988,"temperate","1_protected",0.09,47.73,45.94,19.73,17.94,-24.74
"4123","PG","Elahi_Qsess","Elahi","Elahi_Qsess_PG_R","alpha",38697,0.602325342708333,12,3.26,0.680277685,"hardBottom","sessile invertebrates and flora",2,"none",48.559,-122.988,"temperate","1_protected",0.09,47.95,45.94,19.95,17.94,-24.74
"4129","PG","Elahi_Qsess","Elahi","Elahi_Qsess_PG_R","alpha",38797,0.60402495175,12,3.26,0.680277685,"hardBottom","sessile invertebrates and flora",2,"none",48.559,-122.988,"temperate","1_protected",0.09,48.22,45.94,20.22,17.94,-24.74
"4127","PG","Elahi_Qsess","Elahi","Elahi_Qsess_PG_R","alpha",38869,0.610348254208333,12,3.26,0.680277685,"hardBottom","sessile invertebrates and flora",2,"none",48.559,-122.988,"temperate","1_protected",0.09,48.42,45.94,20.42,17.94,-24.74
"4120","PG","Elahi_Qsess","Elahi","Elahi_Qsess_PG_R","alpha",38958,0.605244649125,12,3.26,0.680277685,"hardBottom","sessile invertebrates and flora",2,"none",48.559,-122.988,"temperate","1_protected",0.09,48.66,45.94,20.66,17.94,-24.74
"4521","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",37964,0.6007984955,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,45.94,45.94,17.94,17.94,-24.74
"4530","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38072,0.716948849375,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,46.23,45.94,18.23,17.94,-24.74
"4529","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38194,0.661937996916667,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,46.57,45.94,18.57,17.94,-24.74
"4525","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38430,0.738676964833333,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,47.21,45.94,19.21,17.94,-24.74
"4523","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38473,0.695004051125,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,47.33,45.94,19.33,17.94,-24.74
"4531","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38617,0.667817200416667,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,47.73,45.94,19.73,17.94,-24.74
"4527","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38697,0.656048207416667,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,47.95,45.94,19.95,17.94,-24.74
"4522","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38797,0.707780230208333,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,48.22,45.94,20.22,17.94,-24.74
"4528","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38869,0.675442012458333,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,48.42,45.94,20.42,17.94,-24.74
"4532","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",38958,0.66504202025,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,48.66,45.94,20.66,17.94,-24.74
"4526","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",39054,0.703612592958333,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,48.92,45.94,20.92,17.94,-24.74
"4524","SC","Elahi_Qsess","Elahi","Elahi_Qsess_SC_R","alpha",39154,0.726542787625,12,3.26,0.588833011,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","1_protected",0.09,49.2,45.94,21.2,17.94,-24.74
"3973","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",37964,0.766666666666667,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,45.94,45.94,17.94,17.94,-23.27
"3976","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38072,0.955,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,46.23,45.94,18.23,17.94,-23.27
"3971","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38194,0.846708311333333,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,46.57,45.94,18.57,17.94,-23.27
"3969","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38290,0.745366984666667,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,46.83,45.94,18.83,17.94,-23.27
"3981","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38430,0.893260399833333,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,47.21,45.94,19.21,17.94,-23.27
"3970","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38561,0.901676903,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,47.57,45.94,19.57,17.94,-23.27
"3978","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38646,0.824879660666667,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,47.81,45.94,19.81,17.94,-23.27
"3972","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38697,0.862762426166667,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,47.95,45.94,19.95,17.94,-23.27
"3967","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38782,0.871680330666667,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,48.18,45.94,20.18,17.94,-23.27
"3979","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38870,0.910595142666667,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,48.42,45.94,20.42,17.94,-23.27
"3977","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",38958,0.866252170833333,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,48.66,45.94,20.66,17.94,-23.27
"3968","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",39060,0.8258871175,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,48.94,45.94,20.94,17.94,-23.27
"3980","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",39154,0.889355946833333,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,49.2,45.94,21.2,17.94,-23.27
"3975","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",39341,0.920401402,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,49.71,45.94,21.71,17.94,-23.27
"3974","ON","Elahi_Tmob","Elahi","Elahi_Tmob_ON_R","alpha",39691,0.832496144833333,15,4.73,0.88668288,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.605,-123.092,"temperate","2_unprotected",5,50.67,45.94,22.67,17.94,-23.27
"4172","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",37964,0.963333333333333,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,45.94,45.94,17.94,17.94,-23.27
"4167","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38072,0.838333333333333,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,46.23,45.94,18.23,17.94,-23.27
"4171","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38194,0.888622235666667,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,46.57,45.94,18.57,17.94,-23.27
"4164","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38290,0.8746185575,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,46.83,45.94,18.83,17.94,-23.27
"4170","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38430,0.939711741833333,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,47.21,45.94,19.21,17.94,-23.27
"4159","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38561,0.945315882333333,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,47.57,45.94,19.57,17.94,-23.27
"4168","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38646,0.943660495166667,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,47.81,45.94,19.81,17.94,-23.27
"4173","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38697,0.925463827333333,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,47.95,45.94,19.95,17.94,-23.27
"4165","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38870,0.897411414666667,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,48.42,45.94,20.42,17.94,-23.27
"4166","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",38958,0.9014792165,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,48.66,45.94,20.66,17.94,-23.27
"4169","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",39060,0.878828775166667,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,48.94,45.94,20.94,17.94,-23.27
"4161","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",39154,0.922699628833333,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,49.2,45.94,21.2,17.94,-23.27
"4163","PG","Elahi_Tmob","Elahi","Elahi_Tmob_PG_R","alpha",39691,0.928694512,15,4.73,0.721928095,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.559,-122.988,"temperate","1_protected",5,50.67,45.94,22.67,17.94,-23.27
"4577","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38194,0.904387483333333,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,46.57,45.94,18.57,17.94,-23.27
"4574","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38290,0.915540534833333,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,46.83,45.94,18.83,17.94,-23.27
"4582","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38430,0.887912315166667,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,47.21,45.94,19.21,17.94,-23.27
"4579","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38561,0.898938186,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,47.57,45.94,19.57,17.94,-23.27
"4576","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38646,0.851367098,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,47.81,45.94,19.81,17.94,-23.27
"4583","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38697,0.938785845333333,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,47.95,45.94,19.95,17.94,-23.27
"4570","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38782,0.894277436666667,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,48.18,45.94,20.18,17.94,-23.27
"4572","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38870,0.908517336166667,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,48.42,45.94,20.42,17.94,-23.27
"4580","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",38958,0.920522093166667,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,48.66,45.94,20.66,17.94,-23.27
"4584","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",39060,0.8900459285,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,48.94,45.94,20.94,17.94,-23.27
"4578","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",39154,0.913637379,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,49.2,45.94,21.2,17.94,-23.27
"4581","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",39341,0.923365235,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,49.71,45.94,21.71,17.94,-23.27
"4575","SC","Elahi_Tmob","Elahi","Elahi_Tmob_SC_R","alpha",39691,0.943415555333333,15,4.73,0.970950594,"hardBottom","benthic invertebrate and fish consumers",3,"none",48.551,-123.005,"temperate","1_protected",5,50.67,45.94,22.67,17.94,-23.27
"4049","PAP","Gooday_split","Gooday","Gooday_split_PAP_S","gamma",31897,0.843,7,11.43,0.843,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.006375,29.33,29.33,1.33,1.33,-16.57
"4051","PAP","Gooday_split","Gooday","Gooday_split_PAP_S","gamma",32963,0.863,7,11.43,0.843,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.006375,32.25,29.33,4.25,1.33,-16.57
"4052","PAP","Gooday_split","Gooday","Gooday_split_PAP_S","gamma",34242,0.814,7,11.43,0.843,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.006375,35.75,29.33,7.75,1.33,-16.57
"4048","PAP","Gooday_split","Gooday","Gooday_split_PAP_S","gamma",34393,0.8235,7,11.43,0.843,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.006375,36.16,29.33,8.16,1.33,-16.57
"4050","PAP","Gooday_split","Gooday","Gooday_split_PAP_S","gamma",34577,0.722,7,11.43,0.843,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.006375,36.67,29.33,8.67,1.33,-16.57
"4053","PAP","Gooday_split","Gooday","Gooday_split_PAP_S","gamma",34789,0.8105,7,11.43,0.843,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.006375,37.25,29.33,9.25,1.33,-16.57
"4054","PAP","Gooday_split","Gooday","Gooday_split_PAP_S","gamma",36068,0.7445,7,11.43,0.843,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.006375,40.75,29.33,12.75,1.33,-16.57
"4055","PAP","Gooday_whole","Gooday","Gooday_whole_PAP_S","gamma",31259,0.821666666666667,7,8.17,0.808,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.0255,27.58,27.58,-0.420000000000002,-0.420000000000002,-19.83
"4060","PAP","Gooday_whole","Gooday","Gooday_whole_PAP_S","gamma",31897,0.796,7,8.17,0.808,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.0255,29.33,27.58,1.33,-0.420000000000002,-19.83
"4059","PAP","Gooday_whole","Gooday","Gooday_whole_PAP_S","gamma",32963,0.853,7,8.17,0.808,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.0255,32.25,27.58,4.25,-0.420000000000002,-19.83
"4057","PAP","Gooday_whole","Gooday","Gooday_whole_PAP_S","gamma",33847,0.792,7,8.17,0.808,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.0255,34.67,27.58,6.67,-0.420000000000002,-19.83
"4056","PAP","Gooday_whole","Gooday","Gooday_whole_PAP_S","gamma",34028,0.7755,7,8.17,0.808,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.0255,35.16,27.58,7.16,-0.420000000000002,-19.83
"4058","PAP","Gooday_whole","Gooday","Gooday_whole_PAP_S","gamma",34150,0.819,7,8.17,0.808,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.0255,35.5,27.58,7.5,-0.420000000000002,-19.83
"4061","PAP","Gooday_whole","Gooday","Gooday_whole_PAP_S","gamma",34242,0.757,7,8.17,0.808,"softBottom","foraminifera",2,"none",49,-16.5,"temperate","1_protected",0.0255,35.75,27.58,7.75,-0.420000000000002,-19.83
"3745","Non-tidal","IbarraObando","IbarraObando","IbarraObando_Non-tidal_S","gamma",29617,0.77,15,22.01,0.77,"macrophyte","grasses",1,"negative",31.72,-116.655,"subtropical","3_estuary",5,23.09,23.09,-4.91,-4.91,-5.99
"3740","Non-tidal","IbarraObando","IbarraObando","IbarraObando_Non-tidal_S","gamma",29829,0.59,15,22.01,0.77,"macrophyte","grasses",1,"negative",31.72,-116.655,"subtropical","3_estuary",5,23.67,23.09,-4.33,-4.91,-5.99
"3733","Non-tidal","IbarraObando","IbarraObando","IbarraObando_Non-tidal_S","gamma",29982,0.68,15,22.01,0.77,"macrophyte","grasses",1,"negative",31.72,-116.655,"subtropical","3_estuary",5,24.08,23.09,-3.92,-4.91,-5.99
"3738","Non-tidal","IbarraObando","IbarraObando","IbarraObando_Non-tidal_S","gamma",30194,0.9,15,22.01,0.77,"macrophyte","grasses",1,"negative",31.72,-116.655,"subtropical","3_estuary",5,24.67,23.09,-3.33,-4.91,-5.99
"3737","Non-tidal","IbarraObando","IbarraObando","IbarraObando_Non-tidal_S","gamma",35673,0.58,15,22.01,0.77,"macrophyte","grasses",1,"negative",31.72,-116.655,"subtropical","3_estuary",5,39.67,23.09,11.67,-4.91,-5.99
