"","site","studySub","studyName","subSiteID","sppCode","Scale","dateR","rich","div","abund","temp_n","initialDateR","finalDateR","initialRich","initialDiv","initalAbund","duration","PubGrayRaw","Peer","Sys","Taxon","Trophic","alphaSQM","AbundType","AbundUnitsOrig","AbundYes","Event","Event1","Event2","Driver","Prediction","Lat","Long","nSiteReps","Climate","Protection","event1R","event2R","abundFinal","slKM","gammaSQM","richLN","initialRichLN","year0","initialYr","year0Z","initialYrZ","durationZ","abundCS"
"2867","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","1995-04-01",11.293,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.433,2.735,33.25,30.25,5.25,2.25,-17.9945205479452,NA
"2868","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","1996-04-01",14.565,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.685,2.735,34.25,30.25,6.25,2.25,-17.9945205479452,NA
"2869","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","1997-04-01",10.976,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.405,2.735,35.25,30.25,7.25,2.25,-17.9945205479452,NA
"2870","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","1998-04-01",11.821,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.478,2.735,36.25,30.25,8.25,2.25,-17.9945205479452,NA
"2871","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","1999-04-01",12.823,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.559,2.735,37.25,30.25,9.25,2.25,-17.9945205479452,NA
"2872","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","2000-04-01",12.982,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.571,2.735,38.25,30.25,10.25,2.25,-17.9945205479452,NA
"2873","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","2001-04-01",14.617,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.689,2.735,39.25,30.25,11.25,2.25,-17.9945205479452,NA
"2874","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","2002-04-01",13.826,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.634,2.735,40.25,30.25,12.25,2.25,-17.9945205479452,NA
"2875","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","1992-04-01",14.881,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.707,2.707,30.25,30.25,2.25,2.25,-18.9945205479452,NA
"2876","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","1993-04-01",15.989,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.778,2.707,31.25,30.25,3.25,2.25,-18.9945205479452,NA
"2877","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","1994-04-01",14.037,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.649,2.707,32.25,30.25,4.25,2.25,-18.9945205479452,NA
"2878","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","1995-04-01",14.195,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.66,2.707,33.25,30.25,5.25,2.25,-18.9945205479452,NA
"2879","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","1996-04-01",16.464,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.807,2.707,34.25,30.25,6.25,2.25,-18.9945205479452,NA
"2880","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","1997-04-01",15.989,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.778,2.707,35.25,30.25,7.25,2.25,-18.9945205479452,NA
"2881","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","1998-04-01",14.881,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.707,2.707,36.25,30.25,8.25,2.25,-18.9945205479452,NA
"2882","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","1999-04-01",16.464,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.807,2.707,37.25,30.25,9.25,2.25,-18.9945205479452,NA
"2883","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","2000-04-01",16.517,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.81,2.707,38.25,30.25,10.25,2.25,-18.9945205479452,NA
"2884","Maria_mpa","Barrett","Barrett","Barrett_Maria_mpa_S","S","gamma","2001-04-01",16.834,NA,NA,10,"1992-04-01","2001-04-01",14.881,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-42.632,147.956,7,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.829,2.707,39.25,30.25,11.25,2.25,-18.9945205479452,NA
"4706","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1992-04-01",11.504,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.451,2.451,30.25,30.25,2.25,2.25,-17.9945205479452,NA
"4707","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1992-09-01",7.351,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.008,2.451,30.67,30.25,2.67,2.25,-17.9945205479452,NA
"4708","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1993-04-01",10.979,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.405,2.451,31.25,30.25,3.25,2.25,-17.9945205479452,NA
"4709","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1993-09-01",7.924,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.082,2.451,31.67,30.25,3.67,2.25,-17.9945205479452,NA
"4710","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1994-04-01",9.881,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.301,2.451,32.25,30.25,4.25,2.25,-17.9945205479452,NA
"4711","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1995-04-01",9.403,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.252,2.451,33.25,30.25,5.25,2.25,-17.9945205479452,NA
"4712","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1996-04-01",8.401,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.14,2.451,34.25,30.25,6.25,2.25,-17.9945205479452,NA
"4713","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1997-04-01",8.831,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.19,2.451,35.25,30.25,7.25,2.25,-17.9945205479452,NA
"4714","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1997-09-01",8.305,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.129,2.451,35.67,30.25,7.67,2.25,-17.9945205479452,NA
"4715","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1999-04-01",10.501,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.361,2.451,37.25,30.25,9.25,2.25,-17.9945205479452,NA
"4716","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","1999-09-01",9.308,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.242,2.451,37.66,30.25,9.66,2.25,-17.9945205479452,NA
"4717","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","2000-04-01",12.983,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.571,2.451,38.25,30.25,10.25,2.25,-17.9945205479452,NA
"4718","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","2001-04-01",11.026,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.409,2.451,39.25,30.25,11.25,2.25,-17.9945205479452,NA
"4719","Tinder_fished","Barrett","Barrett","Barrett_Tinder_fished_S","S","gamma","2002-04-01",10.979,NA,NA,14,"1992-04-01","2002-04-01",11.504,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-43.049,147.35,2,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.405,2.451,40.25,30.25,12.25,2.25,-17.9945205479452,NA
"4720","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1992-04-01",14.511,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.682,2.682,30.25,30.25,2.25,2.25,-18.9945205479452,NA
"4721","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1992-09-01",12.601,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.542,2.682,30.67,30.25,2.67,2.25,-18.9945205479452,NA
"4722","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1993-04-01",13.031,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.575,2.682,31.25,30.25,3.25,2.25,-18.9945205479452,NA
"4723","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1993-09-01",11.599,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.46,2.682,31.67,30.25,3.67,2.25,-18.9945205479452,NA
"4724","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1994-04-01",14.606,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.688,2.682,32.25,30.25,4.25,2.25,-18.9945205479452,NA
"4725","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1995-04-01",14.033,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.649,2.682,33.25,30.25,5.25,2.25,-18.9945205479452,NA
"4726","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1996-04-01",14.033,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.649,2.682,34.25,30.25,6.25,2.25,-18.9945205479452,NA
"4727","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1997-04-01",11.981,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.492,2.682,35.25,30.25,7.25,2.25,-18.9945205479452,NA
"4728","Tinder_mpa","Barrett","Barrett","Barrett_Tinder_mpa_S","S","gamma","1997-09-01",15.609,NA,NA,13,"1992-04-01","2001-04-01",14.511,NA,NA,9.00547945205479,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-43.057,147.34,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.754,2.682,35.67,30.25,7.67,2.25,-18.9945205479452,NA
